,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,NAC Breda,38,25,5,8,75,35,80,32
1,2,NEC,38,23,7,8,93,54,76,32
2,3,MVV,38,22,5,11,78,42,71,32
3,4,Roda,38,20,9,9,66,35,69,32
4,5,FC Volendam,38,19,7,12,65,50,64,32
5,6,NAC Breda,38,17,11,10,63,44,62,32
6,7,MVV,38,15,14,9,55,45,59,32
7,8,SC Cambuur,38,17,8,13,74,66,59,32
8,9,Helmond Sport,38,14,13,11,50,40,55,32
9,10,Almere City FC,38,15,9,14,62,70,54,32
10,11,RKC Waalwijk,38,15,8,15,64,71,53,32
11,12,FC Emmen,38,15,5,18,70,63,50,32
12,13,VVV-Venlo,38,14,7,17,51,67,49,32
13,14,Ajax B,38,12,9,17,48,67,45,32
14,15,SC Cambuur,38,12,5,21,67,95,41,32
15,16,PSV B,38,10,10,18,46,64,40,32
16,17,NAC Breda,38,13,9,16,54,67,39,32
17,18,FC Volendam,38,10,7,21,50,71,37,32
18,19,MVV,38,5,9,24,42,72,24,32
19,20,Almere City FC,38,5,7,26,37,92,19,32
20,21,FC Emmen,,,,,,,,32
21,22,RKC Waalwijk,,,,,,,,32
22,23,FC Eindhoven,,,,,,,,32
23,24,De Graafschap,,,,,,,,32
24,25,Helmond Sport,,,,,,,,32
25,26,Den Bosch,,,,,,,,32
26,27,FC Oss,,,,,,,,32
27,28,Telstar,,,,,,,,32
28,29,Fortuna Sittard,,,,,,,,32
29,30,FC Utrecht B,,,,,,,,32
30,31,FC Dordrecht,,,,,,,,32
31,32,RKSV Achilles ´29,,,,,,,,32
