,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,RKC Waalwijk,34,23,7,4,93,36,76,24
1,2,Vitesse,34,21,7,6,70,37,70,24
2,3,RKC Waalwijk,34,21,6,7,87,47,69,24
3,4,FC Twente,34,19,8,7,64,35,65,24
4,5,NEC,34,18,10,6,79,59,64,24
5,6,Vitesse,34,17,9,8,82,46,60,24
6,7,Ajax,34,15,8,11,48,43,53,24
7,8,Feyenoord,34,13,6,15,42,45,45,24
8,9,PSV,34,13,6,15,40,49,45,24
9,10,AZ Alkmaar,34,14,2,18,55,70,44,24
10,11,Heerenveen,34,11,10,13,55,58,43,24
11,12,FC Twente,34,11,7,16,52,62,40,24
12,13,Vitesse,34,10,8,16,45,54,38,24
13,14,NEC,34,10,7,17,41,61,37,24
14,15,RKC Waalwijk,34,8,8,18,38,67,32,24
15,16,Roda,34,9,4,21,42,78,31,24
16,17,FC Utrecht,34,6,6,22,36,74,24,24
17,18,Heracles Almelo,34,4,7,23,28,76,19,24
18,19,NAC Breda,,,,,,,,24
19,20,FC Groningen,,,,,,,,24
20,21,ADO Den Haag,,,,,,,,24
21,22,VVV-Venlo,,,,,,,,24
22,23,De Graafschap,,,,,,,,24
23,24,Excelsior,,,,,,,,24
