,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,NAC Breda,36.0,24.0,7.0,5.0,83.0,40.0,79.0,35
1,2,Willem II,36.0,23.0,6.0,7.0,85.0,39.0,75.0,35
2,3,Go Ahead Eagles,36.0,20.0,7.0,9.0,84.0,42.0,67.0,35
3,4,De Graafschap,36.0,19.0,6.0,11.0,55.0,44.0,63.0,35
4,5,Go Ahead Eagles,36.0,18.0,7.0,11.0,61.0,41.0,61.0,35
5,6,VVV-Venlo,36.0,14.0,10.0,12.0,54.0,40.0,52.0,35
6,7,FC Eindhoven,36.0,15.0,6.0,15.0,58.0,57.0,51.0,35
7,8,NAC Breda,36.0,14.0,8.0,14.0,68.0,66.0,50.0,35
8,9,Almere City FC,36.0,13.0,11.0,12.0,59.0,57.0,50.0,35
9,10,Willem II,36.0,14.0,8.0,14.0,52.0,60.0,50.0,35
10,11,MVV,36.0,13.0,9.0,14.0,51.0,71.0,48.0,35
11,12,De Graafschap,36.0,12.0,8.0,16.0,57.0,64.0,44.0,35
12,13,MVV,36.0,11.0,9.0,16.0,52.0,59.0,42.0,35
13,14,FC Volendam,36.0,11.0,7.0,18.0,47.0,67.0,40.0,35
14,15,Almere City FC,36.0,10.0,9.0,17.0,43.0,61.0,39.0,35
15,16,FC Emmen,36.0,11.0,6.0,19.0,41.0,74.0,39.0,35
16,17,Sparta Rotterdam,36.0,9.0,11.0,16.0,47.0,53.0,38.0,35
17,18,VVV-Venlo,36.0,7.0,11.0,18.0,41.0,66.0,32.0,35
18,19,NAC Breda,36.0,7.0,8.0,21.0,43.0,80.0,29.0,35
19,20,FC Eindhoven,,,,,,,,35
20,21,Go Ahead Eagles,,,,,,,,35
21,22,FC Volendam,,,,,,,,35
22,23,FC Emmen,,,,,,,,35
23,24,Almere City FC,,,,,,,,35
24,25,Ajax B,,,,,,,,35
25,26,MVV,,,,,,,,35
26,27,PSV B,,,,,,,,35
27,28,Telstar,,,,,,,,35
28,29,Helmond Sport,,,,,,,,35
29,30,FC Dordrecht,,,,,,,,35
30,31,RKSV Achilles ´29,,,,,,,,35
31,32,Fortuna Sittard,,,,,,,,35
32,33,Den Bosch,,,,,,,,35
33,34,RKC Waalwijk,,,,,,,,35
34,35,FC Oss,,,,,,,,35
