,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Atlético Madrid,38,28,6,4,77,26,90,20
1,2,Barcelona,38,27,6,5,100,33,87,20
2,3,Real Madrid,38,27,6,5,104,38,87,20
3,4,Athletic,38,20,10,8,66,39,70,20
4,5,Sevilla,38,18,9,11,69,52,63,20
5,6,Villarreal,38,17,8,13,60,44,59,20
6,7,Real Sociedad,38,16,11,11,62,55,59,20
7,8,Valencia,38,13,10,15,51,53,49,20
8,9,Celta de Vigo,38,14,7,17,49,54,49,20
9,10,Levante,38,12,12,14,35,43,48,20
10,11,Málaga,38,12,9,17,39,46,45,20
11,12,Rayo Vallecano,38,13,4,21,46,80,43,20
12,13,Getafe,38,11,9,18,35,54,42,20
13,14,Espanyol,38,11,9,18,41,51,42,20
14,15,Granada,38,12,5,21,32,56,41,20
15,16,Elche,38,9,13,16,30,50,40,20
16,17,Almería,38,11,7,20,43,71,40,20
17,18,Osasuna,38,10,9,19,32,62,39,20
18,19,Valladolid,38,7,15,16,38,60,36,20
19,20,Real Betis,38,6,7,25,36,78,25,20
