,rank,team_name,GP,W,D,L,GF,GA,P,team_n
0,1,Barcelona,38,26,9,3,90,36,87,20
1,2,Atlético Madrid,38,22,10,6,55,29,76,20
2,3,Real Madrid,38,21,5,12,63,46,68,20
3,4,Valencia,38,15,16,7,51,35,61,20
4,5,Getafe,38,15,14,9,48,35,59,20
5,6,Sevilla,38,17,8,13,62,47,59,20
6,7,Espanyol,38,14,11,13,48,50,53,20
7,8,Athletic,38,13,14,11,41,45,53,20
8,9,Real Sociedad,38,13,11,14,45,46,50,20
9,10,Real Betis,38,14,8,16,44,52,50,20
10,11,Alavés,38,13,11,14,39,50,50,20
11,12,Eibar,38,11,14,13,46,50,47,20
12,13,Leganés,38,11,12,15,37,43,45,20
13,14,Villarreal,38,10,14,14,49,52,44,20
14,15,Levante,38,11,11,16,59,66,44,20
15,16,Valladolid,38,10,11,17,32,51,41,20
16,17,Celta de Vigo,38,10,11,17,53,62,41,20
17,18,Girona,38,9,10,19,37,53,37,20
18,19,Huesca,38,7,12,19,43,65,33,20
19,20,Rayo Vallecano,38,8,8,22,41,70,32,20
